spu_code,country,product_id
S230627004305,DE,1729511472394246830
S240416006597,IT,1729481732950890883
S231227004777,DE,1729480691067754551
S230816008094,DE,1729480011175401916
S240621002828,DE,1729480092615809787
S230613001999,DE,1729518528396761774
S231213005464,GB,1729403091204345578
S230616003852,GB,1729400122079022836
S240701005759,MX,1731758483829787149
S230519000492,BE,1729848620552264440
S240617006065,CZ,1729842214587964330
S240516000769,DE,1729480196535851207
S230714004882,DE,1729497895923325674
S230805000565,ES,1729517445345352366
S240611002679,ES,1729507178474019502
S231117003326,MX,1732169085261024112
S231106002537,IT,1729563146305051169
S230627004187,DE,1729520097054464686
S230906007600,US,1731269125927768824
S240229004366,CZ,1729841514036173070
S231205002610,CZ,1729847404396387064
S230623001929,HU,1729851740863306484
S240530001048,ES,1729480663057471687
S240110001441,ES,1729518497561746251
S231213005464,DE,1729498497122147050
S230524000322,FR,1729518623933242030
S240513003054,GB,1729409719570304199
S240615000236,ES,1729480046112446815
S240531006688,ES,1729480055830321720
S230719005049,DE,1729493312901192033
S230919003175,DE,1729501380915665485
S230518000905,GB,1729400118888074926
S230628004022,DE,1729480151094893307
S230925002398,ES,1729480234880441163
S240414002575,DE,1729497710832687850
S240109003547,DE,1729480366055529291
S240126001171,ES,1729498613797132699
S230518000907,GB,1729400119192751790
S240505000827,PT,1729847683662715150
S240605001901,PT,1729836133689891015
S230721000832,PT,1729885241349675694
S240111000398,GB,1729404922929844043
S230829001143,ES,1729526184625740462
S230626003430,FR,1729519034167040686
S240613007638,IT,1729518861855791783
S231127001212,FR,1729508638729542392
S231201004174,GB,1729402768245034744
S240514005841,FR,1729480667447466183
S230519000492,ES,1729481973459426040
S240627001374,HU,1729846558239922950
S240301002041,DE,1729507614157937326
S231028002128,ES,1729526387950787246
S240625005184,US,1729539156479677176
S240514005841,ES,1729480667350014151
S240531001414,GB,1729410423646227655
S230518000839,ES,1729511507046734510
S230805000565,DE,1729517448357714606
S230714004882,FR,1729497895444978410
S240123000258,ES,1729480009133169290
S240414002575,ES,1729497711546571498
S240516001450,GB,1729410117386996935
S240704005317,ES,1729482628072315621
S230909002701,ES,1729535564463970990
S230812001994,ES,1729519039948036782
S240301002041,ES,1729507614119860910
S240513003054,DE,1729480584631785671
S240502000465,IT,1729481935385697099
S230519000492,DE,1729481975406369528
S230608000906,DE,1729509713127643822
S230906007469,DE,1729480789667715818
S240516000769,ES,1729480195159726279
S240621002828,ES,1729480094353365755
S230519000492,GR,1729848623986744056
S231201004174,DE,1729506973726120696
S230518000907,DE,1729520098019482286
S230626002293,DE,1729519038748138158
S240318006366,FR,1729551284235049706
S240617001899,FR,1729480663175698622
S240605001901,DE,1729480014937626823
S240516000858,DE,1729480021873957063
S230626002293,FR,1729519038748531374
S230714007059,ES,1729492751468108220
S230826004835,DE,1729535564001286830
S240110001892,DE,1729481146182245195
S240530006454,ES,1729485491825777027
S230519000492,FR,1729481972877662968
S230626003431,GB,1729400833807453870
S231227004777,US,1729433266826874935
S240514002232,HU,1729836133337700551
S231227004777,ES,1729480691802740791
S230608000909,FR,1729519032015952558
S230608000906,ES,1729509712909277870
S240120001746,ES,1729483452331366663
S230826004835,ES,1729535563513436846
S240614004093,US,1729537183382540773
S230818004919,US,1729394237316240046
S240607001889,ES,1729480649390921927
S230608000906,GB,1729400120669867694
S230612001911,DE,1729518534894918318
S230721000832,DE,1729504486550117038
S231213006423,ES,1729501433921378983
S240516001053,DE,1729480531479599303
S230608000906,IT,1729509720982330030
S231108000687,ES,1729563055647201825
S230626003431,DE,1729527541778979502
S230909002701,DE,1729535565244504750
S240605006911,DE,1729504094411397806
S231031002089,DE,1729480598797458164
S230518000839,DE,1729511510367705774
S240509002191,FR,1729509764612594350
S240424001858,FR,1729480477674674439
S240605000978,IT,1729518395224529739
S240502000399,DE,1729493578095369035
S240328007779,ES,1729498223920913070
S240517001768,ES,1729518495598287691
S231205002610,ES,1729508235388820216
S240419006151,NL,1729846578180692742
S230628004022,PL,1729872946328869627
S230818002845,FR,1729529549287627438
S240513003054,FR,1729480585401964743
S240417002211,ES,1729497726987836152
S230613001999,ES,1729518525569538734
S240301002041,IT,1729507614050196142
S230829001353,US,1729398908788642478
S231127001212,ES,1729508653961681656
S240304005976,DE,1729480063675374093
S240606005457,FR,1729509208378088184
S231008002576,US,1729408804120859303
S240425006405,IT,1729480022481541688
S231223003995,IT,1729622564117388010
S240308005321,IT,1729586952383469979
S240619007543,GB,1729420812775034535
S240531006688,GB,1729411117640617528
S240325001637,FR,1729485946267409404
S230913000233,ES,1729482731110832500
S240425006129,ES,1729480757558942264
S240608004083,FR,1729480067119880700
S230812002714,ES,1729511441461385902
S230614000045,GR,1729848495383747320
S231028002041,DE,1729547981694278004
S231106002558,DE,1729518795374369313
S230627000782,ES,1729533742870731438
S240416006999,DE,1729483711847307651
S240531006688,DE,1729480055877245496
S230714002421,ES,1729519028575771310
S230922006110,FR,1729511525181659822
S240516000816,FR,1729480565863717063
S240626001899,FR,1729507770073782471
S240701005248,GB,1729421158239407860
S240429000737,ES,1729527539729996462
S230922006110,IT,1729511524879997614
S230714007059,HU,1729851497669564860
S230623001927,FR,1729507135784983284
S240530001048,FR,1729480663994046663
S230627004187,GB,1729400117837139630
S230818004955,GB,1729400955837845166
S230714002421,GB,1729400597000326830
S240328007779,US,1729460921042768558
S240516001450,ES,1729481643477539015
S240517003934,ES,1729501970005072715
S240516000468,ES,1729480737386174663
S230816008094,GB,1729400926652042684
S240321007892,GB,1729405987152039777
S230710004568,FR,1729864992871324440
S230518000905,IT,1729518660607122094
S240517002807,IT,1729481946419272523
S240605006911,GB,1729410664915570350
S240505000827,ES,1729496524986816782
S240516000816,ES,1729480567420262599
S230816008094,ES,1729480009665583548
S240110001892,FR,1729481144276458315
S240117001284,DE,1729536076452960942
S240527003464,FR,1729480416963566411
S240625005184,ES,1729509346073418488
S240113002048,US,1729444769271288651
S240417002211,IT,1729497726979775224
S230906007600,IT,1729527534918802168
S231221001368,DE,1729494700377479384
S240308005321,FR,1729586952382421403
S240531001414,ES,1729480248235301063
S240607001889,GB,1729417860266298567
S230704006732,ES,1729518665618004654
S240414001763,IT,1729483014382262535
S230626002293,IT,1729519033736927918
S240627002082,FR,1729503823586760974
S230719005049,FR,1729493311179561313
S231019000115,DE,1729488764095273466
S240619003492,IT,1729480606362540231
S240627002082,IT,1729503823589120270
S240608004083,ES,1729480066721094140
S240419006151,ES,1729646248714803974
S240612006904,MX,1731172838348916472
S240624005615,GB,1729421318894358072
S240325001637,GB,1729406754621788156
S230704006732,FR,1729518665766640302
S240527003464,GB,1729411109773545291
S230518000887,GB,1729400117815578286
S230616003852,DE,1729487888128056052
S230627005609,FR,1729503830837729394
S230629000118,ES,1729492268595977057
S240627001374,IT,1729514511722388230
S231008002576,ES,1729531970029787815
S230608000849,US,1729386004522373806
S230812000677,US,1729392994676609710
S240110001643,ES,1729518445883595595
S230623001929,ES,1729480617452018420
S240624005615,DE,1729480136159369784
S230812000425,GB,1729400856528195246
S240320007505,FR,1729514196447369895
S240607001889,FR,1729480648350734535
S230518000907,GB,1729399911527714507
S230909002701,GB,1729401340148944558
S230925002398,HU,1729845241989274443
S240414001763,US,1729470226764763399
S231106002558,FR,1729518795821128225
S240414002575,MX,1731300197030266602
S230714004882,MX,1731303037195421418
S230829001143,MX,1731797640675101358
S231211002400,IT,1729557645090593528
S230715001865,ES,1729517087174990510
S240502000465,ES,1729481935584664395
S230818002845,ES,1729529550129896110
S240502000447,MX,1731766914515110731
S231205001739,ES,1729586949036349851
S230822004242,GB,1729400988657946286
S240301002041,GB,1729404944479260334
S230518000905,ES,1729518664968673966
S230818002845,DE,1729529550411045550
S240425006405,MX,1731758578693147192
S240505000827,FR,1729480172307519758
S240509002191,DE,1729509766656072366
S240514005841,DE,1729480666561026247
